                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5454,                 1.0296,                 1.3728,                0.00065,                 0.0625,                0.00084,                0.00017,                0.64974,                 6.0664,                0.32667,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7826,                  1.024,                 1.4654,                0.88041,                 0.0625,                0.07086,                0.04771,                   2.67,                 3.0201,                 2.6138,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3203,                 2.6608,                 1.1508,                0.88041,                 0.0625,                0.07086,                0.04771,                 3.0831,                 5.8823,                 3.7348,               0.001307,               0.001307,               0.001307
                     38,                 1.6265,                0.95202,                 1.4595,                 0.7962,                 0.0625,                0.06803,                0.02041,                 4.7247,                 5.2147,                  3.661,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.681,                0.90331,                 1.4066,                 0.7962,                 0.0625,                0.06803,                0.02041,                 4.7247,                 5.2147,                  3.661,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7116,                0.90872,                 1.3349,                0.44949,                 0.0625,                0.03609,                0.01443,                 4.5269,                 5.4544,                 3.2221,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6652,                0.95288,                 1.3675,                0.00844,                  0.125,                0.00666,                0.00369,                 3.5384,                 5.0246,                 3.0885,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5648,                0.95278,                 1.3639,                0.00844,                  0.125,                0.00666,                0.00369,                 3.9926,                 5.9447,                 3.2833,               0.001208,               0.001208,               0.001208
                     43,                 1.6116,                0.92646,                 1.3586,                0.00844,                  0.125,                0.00666,                0.00369,                 3.9926,                 5.9447,                 3.2833,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6165,                 1.6612,                 1.5025,                 0.1553,                 0.0625,                0.01121,                 0.0015,                 3.7333,                 5.0062,                 3.3732,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6403,                  1.056,                 1.4248,                0.02095,                 0.0625,                0.00656,                 0.0023,                 3.7297,                 6.0387,                 3.0055,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.4541,                0.90272,                 1.3567,                0.40089,                  0.375,                0.26819,                0.06077,                  2.723,                 5.6549,                 2.7983,              0.0011288,              0.0011288,              0.0011288
